married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dependent,dataset
Yes,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Autopay,8.0,232.62,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,No,eCheck,8.0,182.45,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Autopay,19.0,235.14,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Autopay,5.0,174.98,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,Yes,No,No,No,Yes,No,No,Yes,Check,18.0,137.47,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,9.0,139.96,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,No,No,No,No,No,Yes,No,No,No,Autopay,4.0,104.96,No,WGU Telecom Co.
No,Female,Yes,One year,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Autopay,20.0,194.97,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Autopay,4.0,235.16,Yes,WGU Telecom Co.
No,Female,Yes,One year,DSL,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Autopay,9.0,184.95,No,WGU Telecom Co.
No,Male,Yes,Two year,None,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Check,2.0,210.15,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No,Yes,Autopay,15.0,104.96,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,8.0,184.98,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Check,5.0,275.12,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,No,Yes,Yes,No,No,eCheck,7.0,149.98,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,eCheck,12.0,162.45,Yes,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Autopay,4.0,162.48,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,No,eCheck,1.0,147.44,Yes,WGU Telecom Co.
No,Female,Yes,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Check,5.0,147.46,Yes,WGU Telecom Co.
Yes,Female,No,Two year,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,No,Autopay,1.0,182.45,Yes,WGU Telecom Co.
No,Female,Yes,One year,DSL,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Check,10.0,235.16,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Autopay,1.0,127.5,No,WGU Telecom Co.
No,Female,No,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,No,Yes,eCheck,16.0,117.44,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,No,No,eCheck,9.0,124.96,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,Yes,No,No,No,No,Yes,Yes,eCheck,7.0,117.48,No,WGU Telecom Co.
No,Female,Yes,Two year,None,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Autopay,9.0,230.13,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Check,7.0,134.95,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Autopay,8.0,275.12,No,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,No,No,Autopay,6.0,152.48,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Autopay,16.0,104.98,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Autopay,13.0,207.61,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,Yes,Yes,Yes,eCheck,10.0,210.13,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No,No,Autopay,9.0,104.96,Yes,WGU Telecom Co.
Yes,Male,No,Two year,None,Yes,No,Yes,Yes,No,No,No,Yes,No,Autopay,11.0,139.98,Yes,WGU Telecom Co.
Yes,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Autopay,6.0,255.14,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,No,No,No,Check,12.0,127.48,No,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,No,No,No,No,No,No,No,Yes,Yes,Check,4.0,127.44,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,18.0,182.47,Yes,WGU Telecom Co.
Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Autopay,9.0,187.48,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,eCheck,6.0,255.13,No,WGU Telecom Co.
No,Female,No,Month-to-month,None,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Autopay,15.0,137.5,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,Yes,Autopay,9.0,92.46,Yes,WGU Telecom Co.
No,Female,No,One year,DSL,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,6.0,164.97,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,24.0,134.95,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,eCheck,3.0,204.96,No,WGU Telecom Co.
No,Female,Yes,One year,DSL,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,eCheck,3.0,245.13,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,eCheck,1.0,194.97,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,No,No,eCheck,12.0,117.44,Yes,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,11.0,209.99,No,WGU Telecom Co.
Yes,Female,No,Month-to-month,None,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Autopay,13.0,172.49,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,DSL,No,No,Yes,No,Yes,Yes,No,No,No,Autopay,14.0,120.0,No,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Check,13.0,147.46,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,No,Yes,No,No,No,No,Yes,No,Yes,Autopay,2.0,169.94,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,No,Autopay,27.0,167.46,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,No,Yes,No,eCheck,3.0,159.99,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Check,9.0,230.11,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,No,Yes,No,Yes,Yes,No,Yes,Yes,No,eCheck,5.0,242.66,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,eCheck,9.0,194.97,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Autopay,3.0,242.61,Yes,WGU Telecom Co.
No,Male,Yes,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,eCheck,8.0,204.96,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,eCheck,9.0,127.5,Yes,WGU Telecom Co.
No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Autopay,6.0,252.64,No,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No,No,Autopay,5.0,149.98,Yes,WGU Telecom Co.
No,Female,No,Two year,None,No,No,No,Yes,No,No,Yes,No,No,Autopay,8.0,127.46,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,Yes,No,Yes,eCheck,4.0,152.46,No,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,None,Yes,No,No,No,No,No,No,Yes,Yes,Check,7.0,114.97,Yes,WGU Telecom Co.
No,Female,Yes,Two year,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,10.0,237.65,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,No,Autopay,4.0,157.48,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Autopay,7.0,149.96,Yes,WGU Telecom Co.
No,Male,No,Two year,None,Yes,Yes,No,No,No,No,No,Yes,No,eCheck,8.0,147.47,No,WGU Telecom Co.
No,Male,Yes,One year,None,Yes,Yes,No,No,No,Yes,Yes,No,No,Autopay,14.0,149.98,No,WGU Telecom Co.
No,Female,No,Two year,None,Yes,No,Yes,Yes,No,Yes,No,No,No,Autopay,6.0,117.5,Yes,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,eCheck,10.0,187.5,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Autopay,9.0,179.98,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,None,No,Yes,No,No,No,Yes,Yes,No,Yes,eCheck,8.0,149.98,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Check,6.0,179.98,Yes,WGU Telecom Co.
No,Male,No,One year,DSL,Yes,No,No,Yes,No,No,Yes,No,No,eCheck,4.0,139.93,Yes,WGU Telecom Co.
No,Male,Yes,One year,None,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Autopay,3.0,230.13,No,WGU Telecom Co.
Yes,Male,No,One year,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Autopay,21.0,152.51,Yes,WGU Telecom Co.
No,Female,Yes,One year,DSL,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,4.0,220.11,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,5.0,147.46,No,WGU Telecom Co.
No,Nonbinary,No,One year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Autopay,6.0,174.98,Yes,WGU Telecom Co.
No,Male,Yes,Two year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,7.0,245.15,Yes,WGU Telecom Co.
No,Nonbinary,No,One year,None,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Autopay,7.0,129.98,Yes,WGU Telecom Co.
No,Male,Yes,Two year,None,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Autopay,8.0,182.48,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,eCheck,4.0,137.44,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Yes,No,eCheck,9.0,204.98,Yes,WGU Telecom Co.
No,Female,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,6.0,270.16,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Autopay,4.0,242.63,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Autopay,4.0,192.46,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,eCheck,5.0,207.5,No,WGU Telecom Co.
No,Male,Yes,One year,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Autopay,10.0,247.66,No,WGU Telecom Co.
No,Male,No,One year,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,eCheck,7.0,164.99,Yes,WGU Telecom Co.
No,Female,Yes,Two year,None,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Check,5.0,230.13,Yes,WGU Telecom Co.
Yes,Female,No,Two year,DSL,Yes,No,No,No,Yes,Yes,Yes,No,Yes,eCheck,9.0,142.47,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,No,Check,16.0,192.47,Yes,WGU Telecom Co.
No,Nonbinary,No,One year,None,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,eCheck,15.0,162.49,No,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,11.0,164.96,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Check,12.0,172.46,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,DSL,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,7.0,124.96,Yes,WGU Telecom Co.
Yes,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,Yes,Yes,No,Check,11.0,210.11,No,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,eCheck,14.0,157.48,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Check,5.0,192.47,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Check,5.0,162.46,No,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,No,Yes,No,No,No,No,No,No,eCheck,3.0,114.97,Yes,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,4.0,127.47,Yes,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Check,2.0,149.96,No,WGU Telecom Co.
No,Male,No,One year,None,Yes,No,No,No,No,No,Yes,No,Yes,eCheck,5.0,104.96,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Check,9.0,149.95,No,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,No,Yes,No,Yes,No,No,Yes,No,No,eCheck,19.0,192.44,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Check,11.0,149.96,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,Yes,No,No,Yes,No,Yes,Yes,eCheck,10.0,129.99,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Check,4.0,262.61,Yes,WGU Telecom Co.
No,Female,Yes,Two year,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Check,5.0,212.64,No,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Check,6.0,152.48,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,None,Yes,No,No,Yes,No,No,Yes,No,Yes,Check,4.0,127.46,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,eCheck,9.0,245.13,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,None,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Autopay,23.0,172.48,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,3.0,147.46,Yes,WGU Telecom Co.
Yes,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Check,12.0,172.46,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,Yes,Check,17.0,157.47,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Check,8.0,207.5,No,WGU Telecom Co.
No,Male,No,Two year,None,Yes,No,No,Yes,Yes,No,No,Yes,No,Autopay,14.0,149.98,Yes,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Check,8.0,194.98,No,WGU Telecom Co.
No,Female,No,Two year,None,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Autopay,21.0,162.53,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Autopay,4.0,162.47,Yes,WGU Telecom Co.
Yes,Female,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,eCheck,5.0,79.98,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,DSL,Yes,Yes,No,No,No,No,No,No,No,eCheck,5.0,124.96,Yes,WGU Telecom Co.
No,Male,Yes,Two year,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,eCheck,7.0,262.61,Yes,WGU Telecom Co.
No,Nonbinary,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Autopay,19.0,194.97,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,No,Yes,No,No,Yes,Yes,Yes,No,No,Check,1.0,162.5,No,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,Autopay,27.0,149.96,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Autopay,3.0,162.45,Yes,WGU Telecom Co.
Yes,Female,No,Month-to-month,None,Yes,Yes,No,Yes,Yes,No,No,No,No,eCheck,7.0,147.5,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Check,6.0,152.49,Yes,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,No,No,No,Yes,No,Yes,No,Yes,Check,5.0,129.96,Yes,WGU Telecom Co.
Yes,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Autopay,6.0,79.98,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,20.0,214.97,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Check,11.0,204.96,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,No,No,eCheck,5.0,184.99,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Autopay,6.0,222.61,Yes,WGU Telecom Co.
Yes,Male,No,Two year,None,Yes,No,No,No,Yes,Yes,Yes,No,Yes,eCheck,5.0,130.0,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Autopay,18.0,147.46,Yes,WGU Telecom Co.
No,Male,No,One year,None,Yes,No,No,No,Yes,No,Yes,No,Yes,Autopay,8.0,117.49,Yes,WGU Telecom Co.
No,Male,Yes,One year,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Autopay,16.0,187.48,Yes,WGU Telecom Co.
No,Female,No,One year,None,Yes,No,Yes,Yes,No,No,Yes,No,Yes,eCheck,8.0,129.98,No,WGU Telecom Co.
Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,eCheck,27.0,204.96,No,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,No,No,Yes,No,Yes,No,Yes,No,Check,11.0,162.45,Yes,WGU Telecom Co.
No,Female,Yes,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,8.0,240.11,No,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Check,3.0,127.48,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Autopay,3.0,159.95,No,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,No,No,Yes,No,Yes,No,No,Yes,eCheck,2.0,127.46,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,No,Yes,Check,15.0,114.97,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Autopay,11.0,202.44,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,No,eCheck,13.0,174.99,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,No,Check,2.0,179.95,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,eCheck,16.0,127.48,Yes,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,No,eCheck,1.0,172.47,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Autopay,1.0,195.0,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,No,Yes,Yes,No,No,No,No,No,eCheck,5.0,104.99,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,22.0,147.47,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Autopay,7.0,149.95,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,eCheck,20.0,127.47,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Autopay,6.0,200.13,Yes,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,No,Yes,eCheck,11.0,159.98,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,eCheck,2.0,169.99,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Autopay,3.0,124.98,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,Yes,Autopay,6.0,137.47,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,No,Yes,eCheck,4.0,114.97,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Check,3.0,232.65,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,Yes,eCheck,8.0,169.99,No,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Yes,Check,19.0,179.95,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Check,3.0,242.61,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,No,eCheck,7.0,182.47,No,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,No,No,No,No,Yes,Yes,No,No,No,Check,14.0,137.49,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,No,No,Check,6.0,92.5,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,eCheck,9.0,147.46,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Check,4.0,139.93,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,No,eCheck,23.0,179.97,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,3.0,114.95,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,Yes,No,No,eCheck,8.0,152.46,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Check,3.0,187.64,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Check,13.0,149.94,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,13.0,240.11,No,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,eCheck,4.0,112.46,No,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,No,Autopay,3.0,147.48,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Check,18.0,192.47,Yes,WGU Telecom Co.
Yes,Nonbinary,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,eCheck,2.0,124.98,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Check,11.0,182.45,Yes,WGU Telecom Co.
