case_order,customer_id,interaction,city,state,county,zip,lat,lng,population,area,timezone,job,children,age,education,employment_type,income,marital_type,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening
2229,T401958,c946275a-5490-4466-ae08-7eec27eaaf4b,Chapmanville,WV,Logan,25508,37.96346,-82.02167,9025,Suburban,US/Eastern,Pensions consultant,0.0,24,12,Part Time,36024,Widowed,F,Yes,9.0,13,1,0,Yes,Month-to-month,No,No,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Check,9,140.11,1297,3,2,3,5,2,2,4,4
2230,Z462594,afe3f491-cd63-4910-aa50-02912ca2e25d,Bellmore,NY,Nassau,11710,40.67212,-73.5329,34237,Suburban,US/Eastern,"Exhibitions officer, museum/gallery",6.0,53,12,Unemployed,11247,Married,M,No,12.0,9,0,0,No,One year,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,No,Yes,Check,10,130.38,1776,3,4,3,4,4,3,4,3
2231,O554282,32618b6c-b9ef-4031-a3af-3e3e6ede9bf3,Tichnor,AR,Arkansas,72166,34.05265,-91.23824,119,Rural,US/Central,Editorial assistant,0.0,59,18,Full Time,33187,Divorced,F,Yes,12.0,14,0,2,No,Month-to-month,Yes,No,DSL,No,No,No,No,No,No,Yes,Yes,No,Autopay,10,188.8,1683,2,2,2,4,3,3,4,3
2232,U632597,02a6a3a3-76c7-4b1e-bd66-4342460eb352,Neville,OH,Clermont,45156,38.81472,-84.2154,73,Suburban,US/Eastern,Emergency planning/management officer,1.0,19,12,Full Time,48228,Widowed,M,Yes,15.0,13,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Autopay,13,242.03,1946,4,3,3,2,4,4,5,3
2233,R21451,b1644874-7bd1-49d7-97af-2f579ce03d89,Yellow Springs,OH,Greene,45387,39.79806,-83.88693,5456,Urban,US/Eastern,"Production assistant, television",4.0,70,11,Full Time,16662,Separated,M,Yes,8.0,12,1,0,No,One year,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Autopay,4,173.56,1230,5,4,4,3,5,3,3,4
2234,G730072,08d1727a-ff91-48b3-8724-fa34caf1470b,Youngsville,NY,Sullivan,12791,41.81226,-74.89007,485,Urban,US/Eastern,"Scientist, biomedical",2.0,53,12,Part Time,35433,Widowed,F,No,14.0,12,2,0,No,Two Year,Yes,Yes,None,Yes,No,No,Yes,No,No,No,Yes,Yes,Check,8,139.36,1013,5,4,4,3,3,5,5,5
2235,R257162,920bdba3-5b88-45b9-9a03-6e3c08891148,Cleveland,MS,Bolivar,38732,33.75623,-90.7275,17644,Rural,US/Central,Art therapist,4.0,53,14,Full Time,34422,Divorced,M,Yes,6.0,14,3,1,No,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Check,2,185.44,1164,3,1,2,3,4,3,3,3
2236,O881167,cff721f0-218d-42da-a5a5-4e8298133ac5,Somerset,MA,Bristol,02725,41.71252,-71.18426,2421,Rural,US/Eastern,"Horticulturist, amenity",4.0,32,12,Full Time,25712,Single,F,No,7.0,11,0,0,Yes,One year,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,18,220.03,2157,4,4,2,5,2,3,4,3
2237,B651104,37fd34fb-8902-4199-8c8f-f0c0400ee037,Marcellus,NY,Onondaga,13108,42.97329,-76.33094,6050,Urban,US/Eastern,Minerals surveyor,0.0,52,12,Full Time,70459,Divorced,F,Yes,16.0,10,0,2,No,Two Year,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,eCheck,4,236.52,1450,3,4,3,4,3,3,4,4
2238,L853820,219f5399-b850-4888-8008-6e67dfcfc1b9,Mapleton,KS,Bourbon,66754,38.00529,-94.88538,385,Urban,US/Central,Graphic designer,0.0,58,16,Full Time,33109,Married,Prefer not to answer,No,10.0,13,0,1,No,One year,No,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,No,Yes,Autopay,2,128.75,249,5,4,4,3,3,5,5,5
2239,T539156,99431dcf-fff6-4837-b341-5d68986ec991,Doucette,TX,Tyler,75942,30.8163,-94.43156,222,Rural,US/Central,Electrical engineer,0.0,44,16,Full Time,33187,Single,M,No,14.0,9,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,No,Check,25,160.77,2351,2,3,3,4,4,3,3,3
2240,U13490,419712c0-c9e3-4063-a532-cf972abbe9e9,Only,TN,Hickman,37140,35.85917,-87.6525,1330,Rural,US/Central,Special effects artist,4.0,83,18,Full Time,43598,Married,M,No,11.0,17,0,2,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Autopay,3,129.8,590,4,4,5,3,4,2,3,5
2241,T689270,40e85ed6-63d1-4670-914e-624a1ae241b7,Strawberry Point,IA,Clayton,52076,42.69982,-91.51016,2246,Urban,US/Central,Counsellor,2.0,76,16,Student,1476,Married,M,No,12.0,12,2,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Autopay,4,192.78,782,3,3,3,3,3,3,4,4
2242,I902249,4d14f20a-34ce-4524-b1e0-c77b4325d356,Gilman City,MO,Harrison,64642,40.17184,-93.83148,867,Suburban,US/Central,Human resources officer,1.0,81,12,Part Time,33187,Widowed,F,Yes,10.0,12,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Autopay,1,169.39,276,3,3,5,4,1,5,4,2
2243,D60541,6be0b229-6513-4293-81a5-75ba01c262c6,Crown King,AZ,Yavapai,86343,34.19336,-112.29585,68,Urban,US/Mountain,Heritage manager,0.0,53,14,Full Time,24165,Divorced,M,Yes,7.0,7,0,0,Yes,Month-to-month,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Yes,Yes,Yes,Check,1,209.69,634,4,4,5,3,4,4,3,4
2244,Q17056,1e388331-a296-4022-81b0-c1c13fa1f2be,Southaven,MS,DeSoto,38672,34.93779,-89.94857,13535,Suburban,US/Central,Estate manager/land agent,2.0,28,16,Retired,33187,Divorced,F,Yes,11.0,10,0,1,No,One year,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Check,8,208.04,1653,3,4,3,3,3,4,5,5
2245,A661362,8ede4d60-2951-4af7-b01f-3038203b9970,Raquette Lake,NY,Hamilton,13436,43.81101,-74.66038,123,Urban,US/Eastern,Physiological scientist,0.0,83,12,Full Time,52417,Married,M,No,13.0,18,1,0,No,Month-to-month,Yes,No,DSL,No,No,No,Yes,Yes,No,No,No,Yes,Check,5,128.98,3382,2,1,3,2,3,3,2,3
2246,Y909888,6e035f83-cca6-4e17-93d6-c29423f346cf,Bloomfield Hills,MI,Oakland,48302,42.58567,-83.29524,16019,Urban,US/Eastern,Biomedical engineer,5.0,60,12,Full Time,44650,Single,M,Yes,6.0,13,1,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,eCheck,2,175.33,1228,3,2,2,4,2,3,3,2
2247,Q109692,45f18c48-1cb6-4c24-83ee-7eb906110dba,Charleston,WV,Kanawha,25320,38.53927,-81.63074,6976,Suburban,US/Eastern,Petroleum engineer,0.0,18,11,Student,36555,Widowed,M,No,11.0,14,2,1,No,Month-to-month,No,No,None,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Check,36,172.51,1151,3,4,4,6,2,5,4,5
2248,H130516,755aad67-f644-443c-a7fa-01ee6b2c00be,Renton,WA,King,98056,47.51287,-122.18958,35373,Urban,US/Pacific,Systems analyst,4.0,63,12,Full Time,38794,Widowed,M,No,12.0,11,0,1,No,One year,No,No,None,Yes,No,No,Yes,No,Yes,No,Yes,No,Autopay,12,150.97,3382,4,4,4,4,4,4,3,3
2249,J416511,57cfed28-b8a2-4803-b897-ad280d0391a5,Kearney,NE,Buffalo,68849,40.70103,-99.10412,1020,Rural,US/Central,Immigration officer,2.0,57,12,Part Time,45161,Divorced,M,Yes,14.0,14,0,1,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,No,No,Yes,Yes,No,Check,2,190.3,1236,3,3,3,2,5,4,4,3
2250,R313998,ddcdaf23-551f-4954-8c17-b2915fc0f25d,Soulsbyville,CA,Tuolumne,95372,37.99172,-120.26084,2164,Rural,US/Pacific,Building surveyor,1.0,53,14,Full Time,33187,Single,F,No,11.0,14,1,0,No,One year,No,No,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,eCheck,3,150.25,3382,3,4,4,4,3,2,5,3
2251,W970160,1cad374e-d31d-41e0-bcad-ee804bf827ff,Boston,GA,Thomas,31626,30.77558,-83.80106,3211,Rural,US/Eastern,"Scientist, audiological",1.0,47,8,Full Time,49799,Single,F,Yes,20.0,9,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Check,4,182.57,745,5,3,4,4,5,2,3,3
2252,F437041,d8514062-9a74-4150-b84a-4269113d7402,Burson,CA,Calaveras,95225,38.19882,-120.88891,470,Urban,US/Pacific,Research scientist (physical sciences),3.0,77,18,Unemployed,18868,Married,F,No,11.0,15,2,0,No,One year,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,No,eCheck,27,192.31,2588,4,4,3,4,4,6,2,4
2253,W384807,d4680e5b-f009-4d69-a9c4-da14c6abd841,Pleasant Garden,NC,Guilford,27313,35.929,-79.75182,7134,Urban,US/Eastern,"Conservator, museum/gallery",8.0,77,16,Full Time,33187,Separated,Prefer not to answer,Yes,7.0,14,3,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Autopay,36,181.87,2128,4,3,4,2,4,4,3,5
2254,H773130,501d1f6b-e867-4ae6-bb02-4a457dd04339,Richville,NY,St. Lawrence,13681,44.42853,-75.37088,885,Suburban,US/Eastern,"Education officer, museum",0.0,71,11,Full Time,5846,Divorced,F,No,11.0,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,No,No,Yes,No,No,eCheck,3,140.33,906,3,4,4,3,3,4,3,3
2255,Y206805,dc8d717f-d6aa-463d-acbf-13d180b6753a,Brookfield,WI,Waukesha,53005,43.0626,-88.09925,19980,Urban,US/Central,"Buyer, industrial",3.0,74,12,Full Time,33187,Widowed,F,No,17.0,17,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,No,Check,6,180.0,797,5,5,4,2,3,5,4,4
2256,Q634561,cc0c5a42-1ef7-4b3e-b5b7-9848ebde3ccf,Pacifica,CA,San Mateo,94044,37.60548,-122.48103,39065,Rural,US/Pacific,Occupational psychologist,0.0,39,12,Retired,15635,Widowed,F,Yes,39.0,14,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Check,1,158.17,744,3,2,4,4,4,5,4,3
2257,D877925,84fc4d52-8f09-4433-b081-0df332f181df,Lemoyne,PA,Cumberland,17043,40.24684,-76.90009,5706,Urban,US/Eastern,IT consultant,0.0,53,8,Unemployed,12233,Widowed,F,No,6.0,13,2,0,Yes,Month-to-month,No,No,None,Yes,No,No,Yes,No,No,No,No,Yes,Check,36,101.56,534,3,3,4,3,5,3,3,3
2258,S815917,7fcd8cbc-1708-441b-a660-e39bc6d63924,Angels Camp,CA,Calaveras,95222,38.06467,-120.62048,5090,Rural,US/Pacific,Hospital pharmacist,0.0,23,12,Full Time,33976,Widowed,M,Yes,10.0,10,0,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Check,1,256.18,1004,4,4,3,2,6,2,3,2
2259,W53761,fe078129-65a3-4875-975d-77d399af172e,Pittsburgh,PA,Allegheny,15234,40.36815,-80.01775,13649,Suburban,US/Eastern,"Biochemist, clinical",0.0,33,14,Full Time,6288,Single,M,No,11.0,10,0,0,No,One year,No,No,None,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Autopay,36,129.7,1398,4,3,4,2,2,4,3,2
2260,H909511,d300174d-8f1e-4e50-8b03-bd9494ed55c9,Counce,TN,Hardin,38326,35.05788,-88.28787,2439,Rural,US/Central,Trade union research officer,0.0,78,11,Full Time,11520,Divorced,M,Yes,15.0,9,1,0,Yes,Month-to-month,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,No,Yes,eCheck,12,170.08,1303,5,5,4,4,2,4,5,4
2261,F630480,6e2649a7-a6f6-4b22-a1a4-36aac7783905,Ocala,FL,Marion,34474,29.15642,-82.20944,16659,Urban,US/Eastern,"Therapist, art",5.0,64,12,Full Time,16359,Divorced,M,No,10.0,14,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Autopay,12,136.38,1388,3,4,2,4,3,3,5,3
2262,G463713,ca54860e-c977-4fd6-957d-37f26d46b340,Flushing,NY,Queens,11351,40.78076,-73.82543,0,Rural,US/Eastern,Higher education lecturer,2.0,53,14,Unemployed,33860,Separated,F,Yes,6.0,18,2,0,Yes,Month-to-month,No,No,None,Yes,No,Yes,No,No,Yes,No,Yes,Yes,eCheck,4,130.14,590,3,4,3,4,2,5,4,3
2263,S704962,e576e8b7-2280-45db-b51f-e4cb81b30f70,Winnsboro,TX,Hopkins,75494,32.90938,-95.26235,9489,Rural,US/Central,Proofreader,3.0,26,12,Full Time,41037,Single,F,Yes,8.0,11,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,eCheck,19,207.46,2261,2,2,1,6,2,4,4,3
2264,T326046,124e4808-bd8b-42ca-bcf9-b41bc3bae054,Portland,OR,Multnomah,97205,45.519,-122.70201,7284,Urban,US/Pacific,Technical sales engineer,1.0,25,12,Full Time,32479,Single,M,No,12.0,11,1,0,Yes,Two Year,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,No,Autopay,11,182.05,3382,4,5,4,4,3,3,3,2
2265,D538894,cbd35843-fae7-4eb9-814b-9b4b6480b774,South Haven,MN,Meeker,55382,45.30638,-94.20457,3649,Urban,US/Central,Artist,4.0,63,12,Part Time,33187,Divorced,F,No,7.0,17,1,0,No,Two Year,No,No,None,Yes,No,No,No,No,Yes,No,Yes,Yes,Autopay,4,127.08,626,7,6,6,2,5,4,3,4
2266,D176597,946fa3a8-4805-48c2-b83c-aa5f47a3c58b,Valley Head,WV,Randolph,26294,38.53145,-80.03429,947,Suburban,US/Eastern,Administrator,0.0,21,14,Full Time,11075,Divorced,F,Yes,16.0,18,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Autopay,10,262.79,1658,3,3,3,2,4,2,2,3
2267,S333764,582b7fb3-a548-41dd-afb8-fccf1a1d091b,Cazenovia,NY,Madison,13035,42.9408,-75.82566,8851,Urban,US/Eastern,Forensic scientist,3.0,62,16,Full Time,17947,Married,M,No,10.0,14,0,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,7,237.38,1345,3,4,3,4,3,4,5,5
2268,Z529081,759e09ad-3bbe-4139-8506-e2042c919737,Lovington,NM,Lea,88260,32.99149,-103.39912,15142,Urban,US/Mountain,Firefighter,0.0,74,12,Full Time,20698,Divorced,M,No,10.0,19,1,1,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Check,25,277.52,2914,3,4,3,4,3,2,3,2
2269,K316646,6551e21a-3d69-4d28-873d-3acf41abb53c,Inver Grove Heights,MN,Dakota,55076,44.83633,-93.03401,21681,Rural,US/Central,"Designer, blown glass/stained glass",3.0,22,12,Full Time,33187,Divorced,M,Yes,19.0,6,4,0,No,Two Year,No,Yes,DSL,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Check,16,246.11,3382,3,3,3,3,3,4,2,2
2270,G547194,1a29a3b5-be2f-4bbe-9c4c-a1999c3c2216,New York,NY,New York,10177,40.75498,-73.97589,0,Urban,US/Eastern,General practice doctor,4.0,26,18,Unemployed,16592,Divorced,M,No,6.0,15,2,0,No,Two Year,No,No,DSL,No,No,Yes,No,Yes,No,No,Yes,No,Autopay,7,141.36,1652,4,2,3,4,4,4,3,5
2271,V721671,be1f121f-c7db-4d8a-a27c-fc27ecd84ee5,Sussex,VA,Sussex,23884,36.91725,-77.27943,33,Suburban,US/Eastern,"Designer, television/film set",0.0,86,12,Full Time,43824,Married,M,Yes,8.0,7,0,0,No,Month-to-month,Yes,No,None,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Autopay,7,211.82,1237,3,4,5,3,2,4,4,4
2272,B300786,1c564da9-75e4-47f5-8327-e9d0f1e203a0,North Hampton,NH,Rockingham,03862,42.97904,-70.83024,4465,Rural,US/Eastern,Hydrographic surveyor,0.0,18,8,Full Time,81110,Separated,F,Yes,12.0,14,1,0,No,Month-to-month,Yes,No,DSL,No,No,No,No,Yes,No,No,Yes,Yes,Check,36,140.2,1002,4,5,4,4,3,4,5,4
2273,H832557,66c159b5-e610-4e49-84d4-3c9fb9d14c75,Apple Valley,CA,San Bernardino,92307,34.58832,-117.13875,39273,Urban,US/Pacific,Public librarian,2.0,79,12,Unemployed,33187,Widowed,M,Yes,14.0,14,0,0,Yes,Month-to-month,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,6,235.73,1588,4,5,4,4,4,4,4,5
2274,F475715,e26a8efd-3875-4083-8b26-237e23b5e9f7,Lake Park,MN,Becker,56554,46.88345,-96.11475,2759,Urban,US/Central,Location manager,8.0,81,12,Retired,50836,Separated,M,Yes,10.0,17,2,3,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Check,15,241.8,2018,6,5,6,4,4,7,6,4
2275,H89950,d45fc278-79d4-428b-a14a-3a1db6b96f00,Pomona,CA,Los Angeles,91766,34.04179,-117.75691,72332,Rural,US/Pacific,Geophysical data processor,0.0,78,12,Retired,79369,Married,F,No,10.0,14,3,0,Yes,Two Year,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Autopay,10,153.05,1586,3,4,4,4,3,5,3,5
2276,F198326,a49d036a-440b-4f8a-999b-5aa34f009a57,Smithfield,IL,Fulton,61477,40.49608,-90.31546,573,Rural,US/Central,"Surveyor, planning and development",0.0,18,16,Full Time,2995,Separated,F,Yes,9.0,3,1,1,No,One year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Check,16,269.64,3382,4,4,5,4,3,4,4,4
2277,D289914,6ae2f445-0bd5-49e1-aa48-ee55eb9c9075,Reddick,IL,Kankakee,60961,41.10651,-88.23084,725,Rural,US/Central,Database administrator,1.0,53,18,Part Time,6707,Married,M,No,9.0,13,0,1,No,One year,No,Yes,None,Yes,No,No,No,No,No,No,Yes,Yes,eCheck,6,126.0,785,1,1,3,6,1,4,3,4
2278,H227023,e0fc8546-dc81-4509-b28b-79df478f281d,Bear Lake,PA,Warren,16402,41.95791,-79.46564,901,Urban,US/Eastern,Quarry manager,1.0,51,16,Retired,12076,Divorced,M,No,5.0,16,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,No,No,Yes,Autopay,17,92.42,1966,3,2,2,5,4,3,3,4
2279,H134577,44183158-7e71-49aa-94e8-6df82b9f4a26,Oswegatchie,NY,St. Lawrence,13670,44.16999,-75.11349,434,Urban,US/Eastern,"Psychotherapist, child",0.0,35,12,Full Time,81564,Divorced,F,No,13.0,12,3,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,5,159.95,843,5,4,5,4,4,2,4,4
2280,Q450492,c1ed91ee-7b6b-43ab-a4e7-8a94cb48bf92,White Plains,KY,Hopkins,42464,37.18151,-87.36703,1496,Rural,US/Central,TEFL teacher,2.0,25,12,Full Time,28965,Separated,F,No,9.0,9,0,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,Yes,eCheck,36,167.16,1067,6,4,5,3,3,3,4,5
2281,Z81410,50bab0d0-2183-446c-84d8-dec54769f4b1,Bridgeport,CT,Fairfield,06606,41.21174,-73.20803,47227,Urban,US/Eastern,Herbalist,0.0,53,12,Unemployed,44819,Separated,M,No,15.0,11,1,1,No,One year,No,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Autopay,4,220.51,921,4,4,4,6,2,3,4,4
2282,N309726,a83222a0-ac89-4448-b91a-96254b1f446b,Oak City,UT,Millard,84649,39.33902,-112.33759,996,Suburban,US/Mountain,IT trainer,0.0,82,12,Full Time,29906,Divorced,M,Yes,8.0,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Autopay,7,243.53,1177,3,2,4,3,4,5,3,2
2283,E405064,5c5d397b-e530-40a9-b607-ff507d2248cd,Hobbs,NM,Lea,88240,32.7078,-103.47152,40860,Rural,US/Mountain,Armed forces operational officer,2.0,29,18,Retired,33187,Separated,M,No,10.0,10,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,Yes,eCheck,9,157.92,1067,5,4,5,4,3,4,4,3
2284,N532929,edc838c9-0622-4769-ad6e-9c4ccbaf86f0,Dos Rios,CA,Mendocino,95429,39.72744,-123.296,124,Urban,US/Pacific,Counsellor,0.0,58,12,Full Time,46986,Married,F,No,6.0,13,1,1,No,Two Year,Yes,No,Fiber Optic,No,No,Yes,Yes,No,Yes,No,No,Yes,eCheck,5,150.68,570,6,4,5,3,4,3,2,3
2285,O466894,37e37044-73ef-4bc0-a804-62239ac71af8,Rowland,NC,Robeson,28383,34.5755,-79.26576,8854,Rural,US/Eastern,Paediatric nurse,0.0,60,16,Full Time,20029,Divorced,F,No,10.0,12,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,No,Autopay,18,172.45,1791,4,3,3,7,2,4,4,4
2286,B72873,a827ce94-3f33-4514-8cd4-7fb950a98155,Recluse,WY,Campbell,82725,44.87763,-105.7088,630,Urban,US/Mountain,Ophthalmologist,10.0,85,11,Full Time,33187,Married,F,Yes,10.0,13,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,eCheck,3,255.04,1151,4,4,4,4,3,5,4,3
2287,U300011,e4ac1416-ec4d-4894-82a6-f2308b60e021,Atlantic,NC,Carteret,28511,34.8996,-76.35195,566,Suburban,US/Eastern,"Engineer, manufacturing",2.0,74,12,Part Time,33187,Single,M,Yes,10.0,7,0,0,No,Month-to-month,No,Yes,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,eCheck,9,193.94,1217,3,3,4,4,5,3,3,4
2288,V596816,edff1f2c-f547-411f-a866-eadb5dbd44f5,Pine Mountain,GA,Harris,31822,32.86686,-84.91183,5929,Suburban,US/Eastern,Advice worker,4.0,21,8,Part Time,33187,Single,F,Yes,8.0,12,1,0,No,One year,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,5,164.18,1465,5,4,4,2,5,4,3,3
2289,J590464,b589218c-b319-4d40-9ccc-719e45741edd,Hubbardston,MA,Worcester,01452,42.48379,-72.00514,4642,Rural,US/Eastern,Warden/ranger,0.0,67,12,Retired,91903,Widowed,M,No,9.0,11,2,0,No,Month-to-month,No,No,DSL,Yes,No,No,No,Yes,No,No,No,No,Autopay,3,104.52,3382,2,3,4,4,2,4,3,3
2290,Q354961,843358c5-ad98-4223-9a89-c5385ee008de,Carnegie,OK,Caddo,73015,35.08049,-98.59536,3011,Suburban,US/Central,Patent examiner,0.0,43,18,Full Time,41398,Widowed,F,No,41.0,16,1,0,No,Two Year,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,No,Check,1,180.91,949,5,6,6,2,4,5,5,3
2291,P342976,6b9ad143-f472-4bb0-b40c-716b5d81edfa,Fontana Dam,NC,Graham,28733,35.43677,-83.80762,10,Rural,US/Eastern,Dance movement psychotherapist,1.0,46,12,Full Time,53245,Single,F,Yes,11.0,10,0,1,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Autopay,6,193.69,968,5,4,5,3,4,3,3,5
2292,B971638,97fb2235-7b21-41f0-a16f-72605d24a4bd,Canaseraga,NY,Allegany,14822,42.43085,-77.84964,1012,Urban,US/Eastern,"Engineer, manufacturing systems",1.0,53,12,Student,33187,Separated,F,No,4.0,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Autopay,24,161.33,2471,4,2,4,4,3,4,2,2
2293,U372337,0eae4e35-e2b3-43a1-8497-761719047d0c,Tiller,OR,Douglas,97484,42.94004,-122.85018,184,Suburban,US/Pacific,Purchasing manager,0.0,47,12,Retired,19387,Separated,F,No,11.0,14,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,No,Check,36,159.44,499,5,4,3,3,3,5,4,4
2294,K150476,dcf50489-dd41-469f-8ff4-a6b0660b395e,Bonita,LA,Morehouse,71223,32.89241,-91.66023,360,Suburban,US/Central,Actuary,5.0,86,8,Part Time,18450,Widowed,M,No,10.0,11,0,0,No,Month-to-month,No,No,None,No,No,No,Yes,Yes,No,No,No,No,Check,3,115.39,553,4,5,4,1,4,3,3,3
2295,B873691,f98bb451-3025-4b8c-80da-7883c82bbcea,Hollywood,FL,Broward,33021,26.02334,-80.18758,49350,Rural,US/Eastern,Product designer,0.0,26,0,Full Time,113438,Widowed,F,Yes,5.0,12,2,0,Yes,Month-to-month,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,Check,6,159.59,1403,4,4,4,3,4,3,4,2
2296,H532086,326512af-2fe3-4c51-87fc-4fa192a34d83,Rosalie,NE,Thurston,68055,42.05894,-96.47217,314,Rural,US/Central,Merchant navy officer,0.0,32,12,Unemployed,34247,Widowed,F,Yes,17.0,11,0,0,Yes,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,14,208.99,2230,3,4,2,2,5,3,4,3
2297,G897228,a5f59657-e692-47a0-b1b6-445e1e5255f3,Normal,IL,McLean,61761,40.52955,-88.95859,55222,Urban,US/Central,"Programmer, multimedia",0.0,81,8,Full Time,34411,Single,F,No,14.0,12,1,0,No,One year,No,No,DSL,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Check,36,174.82,1511,4,4,4,2,3,4,3,4
2298,K729511,e6369e11-0bd7-4ab5-b0e0-cc9da7b82b45,Forney,TX,Kaufman,75126,32.74204,-96.45185,44740,Urban,US/Central,Futures trader,2.0,53,11,Full Time,28861,Single,M,Yes,14.0,11,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,eCheck,8,247.12,1403,4,4,4,4,3,4,5,5
